ABBV open,AET open,ANTM open,BNTX open,CI open,JNJ open,MET open,MRK open,MRNA open,NVS open,PFE open,UNH open,dt,month,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen
56.0,107.71,122.44,,119.55,114.76,47.16,59.0,,71.34,30.94,141.51,2016-11-01,Nov-16,,,,,,,,,,,,,,,,,,,,,,,,
56.46,105.89,117.765,,115.59,115.52,46.56,59.06,,71.96,30.99,139.02,2016-11-02,Nov-16,,,,,,,,,,,,,,,,,,,,,,,,
57.12,105.92,123.48,,119.5,114.88,45.22,59.18,,71.22,30.7,139.18,2016-11-03,Nov-16,,,,,,,,,,,,,,,,,,,,,,,,
56.07,105.54,120.67,,117.74,115.04,47.21,58.69,,70.27,29.91,138.45,2016-11-04,Nov-16,,,,,,,,,,,,,,,,,,,,,,,,
56.81,107.64,121.03,,122.57,115.89,47.66,59.52,,70.83,30.23,139.6,2016-11-07,Nov-16,,,,,,,,,,,,,,,,,,,,,,,,
58.8,109.29,123.19,,125.52,116.48,47.9,59.82,,71.2,30.13,141.35,2016-11-08,Nov-16,,,,,,,,,,,,,,,,,,,,,,,,
64.1,111.93,120.4,,127.46,120.0,48.53,63.96,,73.65,33.01,139.54,2016-11-09,Nov-16,,,,,,,,,,,,,,,,,,,,,,,,
63.06,119.11,129.56,,136.09,120.77,52.25,64.54,,73.78,33.32,142.34,2016-11-10,Nov-16,,,,,,,,,,,,,,,,,,,,,,,,
63.54,122.66,133.55,,134.62,119.49,53.19,64.08,,73.75,33.22,146.71,2016-11-11,Nov-16,,,,,,,,,,,,,,,,,,,,,,,,
63.4,119.14,133.8,,134.23,118.58,53.97,64.0,,71.71,32.85,147.32,2016-11-14,Nov-16,,,,,,,,,,,,,,,,,,,,,,,,
63.39,124.54,140.02,,136.08,116.4,53.82,63.68,,71.19,32.76,153.51,2016-11-15,Nov-16,,,,,,,,,,,,,,,,,,,,,,,,
62.67,123.5,138.37,,137.93,116.65,53.96,63.7,,71.47,32.2,151.99,2016-11-16,Nov-16,,,,,,,,,,,,,,,,,,,,,,,,
